Full key,en,pl,hu,fr,Namespace,Group,Key,Source file
*::*.Remaining amount to,Remaining amount to,,Fennmaradó összeg,Montant restant à,*,*,Remaining amount to,{locale}.json
*::*.Remember Me,Remember Me!,,Jegyezz meg!,Souviens-toi de moi!,*,*,Remember Me,{locale}.json
*::*.Remove shares,Remove shares,,Részvény eltávolítás,Supprimer les actions,*,*,Remove shares,{locale}.json
*::*.Remove transaction item,Remove transaction item,,Tétel törlése,Supprimer l'élément de transaction,*,*,Remove transaction item,{locale}.json
*::*.Removed quantity,Removed quantity,,Eltávolított mennyiség,Quantité supprimée,*,*,Removed quantity,{locale}.json
*::*.Reports,Reports,,Jelentések,Rapports,*,*,Reports,{locale}.json
*::*.Reset Password,Reset Password,,Jelszó visszaállítása,Réinitialiser le mot de passe,*,*,Reset Password,{locale}.json
*::*.Result,Result,,Eredmény,Résultat,*,*,Result,{locale}.json
*::*.Results,Results,,Eredmények,Résultats,*,*,Results,{locale}.json
*::*.Results for search term:,Results for search term:,,Eredmények a keresési kifejezésre:,Résultats pour le terme de recherche:,*,*,Results for search term:,{locale}.json
*::*.Review currency settings,Review currency settings,,Pénznembeállítások áttekintése,Vérifier les paramètres de devise,*,*,Review currency settings,{locale}.json
*::*.Right click on a transaction to open a context menu with actions.,Right click on a transaction to open a context menu with actions.,,Kattintson jobb gombbal egy tranzakcióra a műveleteket tartalmazó helyi menü megnyitásához.,Faites un clic droit sur une transaction pour ouvrir un menu contextuel proposant des actions.,*,*,Right click on a transaction to open a context menu with actions.,{locale}.json
*::*.Running total,Running total,,Futó összesen,Total cumulé,*,*,Running total,{locale}.json
*::*.Save,Save,,Mentés,Sauvegarder,*,*,Save,{locale}.json
*::*.Saved successfully,Saved successfully,,Sikeresen elmentve,Sauvegarde réussie,*,*,Saved successfully,{locale}.json
*::*.Schedule,Schedule,,Ütemezés,Calendrier,*,*,Schedule,{locale}.json
*::*.Schedule instance skipped.,Schedule instance skipped.,,Ütemezési példány kihagyva.,Instance planifiée ignorée.,*,*,Schedule instance skipped.,{locale}.json
*::*.Schedule instance skipped. This schedule has ended.,Schedule instance skipped. This schedule has ended.,,Ütemezési példány kihagyva. Ez az ütemezés véget ért.,Instance planifiée ignorée. Cette planification est terminée.,*,*,Schedule instance skipped. This schedule has ended.,{locale}.json
*::*.Schedule settings,Schedule settings,,Ütemezési beállítások,Paramètres de planification,*,*,Schedule settings,{locale}.json
*::*.Scheduled,Scheduled,,Ütemezett,Programmé,*,*,Scheduled,{locale}.json
*::*.Scheduled and budgeted transactions,Scheduled and budgeted transactions,,Ütemezett és költségvetésbe foglalt tranzakciók,Transactions planifiées et budgétées,*,*,Scheduled and budgeted transactions,{locale}.json
*::*.Scheduled and budgeted transactions for selected categories,Scheduled and budgeted transactions for selected categories,,Ütemezett és költségvetésbe foglalt tranzakciók kiválasztott kategóriákhoz,Transactions planifiées et budgétées pour certaines catégories,*,*,Scheduled and budgeted transactions for selected categories,{locale}.json
*::*.Scheduled transaction instances,Scheduled transaction instances,,Ütemezett tranzakciós példányok,Instances de transaction planifiées,*,*,Scheduled transaction instances,{locale}.json
*::*.Scheduled transactions,Scheduled transactions,,Ütemezett tranzakciók,Transactions programmées,*,*,Scheduled transactions,{locale}.json
*::*.Schedules and budgets,Schedules and budgets,,Ütemtervek és költségvetések,Calendriers et budgets,*,*,Schedules and budgets,{locale}.json
*::*.Search,Search,,Keresés,Recherche,*,*,Search,{locale}.json
*::*.Search results,Search results,,Találatok,Résultats de la recherche,*,*,Search results,{locale}.json
*::*.Search...,Search...,,Keresés...,Recherche...,*,*,Search...,{locale}.json
*::*.Select account,Select account,,Válassz számlát,Sélectionner un compte,*,*,Select account,{locale}.json
*::*.Select account to open,Select account to open,,Ugrás egy számlához,Sélectionnez le compte à ouvrir,*,*,Select account to open,{locale}.json
*::*.Select all,Select all,,Összes kijelölése,Tout sélectionner,*,*,Select all,{locale}.json
*::*.Select categories to display,Select categories to display,,Válassza ki a megjelenítendő kategóriákat,Sélectionnez les catégories à afficher,*,*,Select categories to display,{locale}.json
*::*.Select categories to merge,Select categories to merge,,Válasszon kategóriákat az egyesítéshez,Sélectionnez les catégories à fusionner,*,*,Select categories to merge,{locale}.json
*::*.Select category,Select category,,Válassz kategóriát,Sélectionner une catégorie,*,*,Select category,{locale}.json
*::*.Select category to be merged,Select category to be merged,,Válassza ki az egyesítendő kategóriát,Sélectionnez la catégorie à fusionner,*,*,Select category to be merged,{locale}.json
*::*.Select category to be merged into,Select category to be merged into,,"Válassza ki az egyesíteni kívánt kategóriát",Sélectionnez la catégorie à fusionner.,*,*,Select category to be merged into,{locale}.json
*::*.Select date,Select date,,Dátum kiválasztása,Sélectionnez une date,*,*,Select date,{locale}.json
*::*.Select investment,Select investment,,Válassz befektetést,Investissements sélectionnés,*,*,Select investment,{locale}.json
*::*.Select payee,Select payee,,Válassz üzletet,Sélectionner le bénéficiaire,*,*,Select payee,{locale}.json
*::*.Select payee to be merged,Select payee to be merged,,Válassza ki az egyesítendő kedvezményezettet,Sélectionner le bénéficiaire à fusionner,*,*,Select payee to be merged,{locale}.json
*::*.Select payee to be merged into,Select payee to be merged into,,"Válassza ki a kedvezményezettet, akivel egyesíteni szeretné",Sélectionnez le bénéficiaire à fusionner dans,*,*,Select payee to be merged into,{locale}.json
*::*.Select payees to merge,Select payees to merge,,Válassza ki az egyesítendő kedvezményezetteket,Sélectionnez les bénéficiaires à fusionner,*,*,Select payees to merge,{locale}.json
*::*.Select preset,Select preset,,Dátum tartomány választása,Sélectionnez le préréglage,*,*,Select preset,{locale}.json
*::*.Select tag(s),Select tag(s),,Válaszz címké(ke)t,Sélectionner une ou plusieurs étiquettes,*,*,Select tag(s),{locale}.json
*::*.Selected,Selected,,Kiválasztott,Choisi,*,*,Selected,{locale}.json
*::*.Sell,Sell,,Eladás,Vendre,*,*,Sell,{locale}.json
*::*.Selling revenue,Selling revenue,,Értékesítési bevétel,revenus de vente,*,*,Selling revenue,{locale}.json
*::*.Send Password Reset Link,Send Password Reset Link,,Jelszó Visszaállítási Link Küldése,Envoyer le lien de réinitialisation du mot de passe,*,*,Send Password Reset Link,{locale}.json
*::*.Set as default,Set as default,,Beállítás alapértelmezettként,Définir comme valeur par défaut,*,*,Set as default,{locale}.json
*::*.Set merged category to inactive,Set merged category to inactive,,Az egyesített kategória inaktívra állítása,Définir la catégorie fusionnée comme inactive,*,*,Set merged category to inactive,{locale}.json
*::*.Set merged payee to inactive,Set merged payee to inactive,,Az egyesített kedvezményezett inaktívvá tétele,Désactiver le bénéficiaire fusionné,*,*,Set merged payee to inactive,{locale}.json
*::*.Settings,Settings,,Beállítások,Paramètres,*,*,Settings,{locale}.json
*::*.Show,Show,,Mutat,Montrer,*,*,Show,{locale}.json
*::*.Show account monthly history,Show account monthly history,,Számla havi előzményeinek megjelenítése,Afficher l'historique mensuel du compte,*,*,Show account monthly history,{locale}.json
*::*.Show all transactions,Show all transactions,,Összes tranzakció megjelenítése,Afficher toutes les transactions,*,*,Show all transactions,{locale}.json
*::*.Show details,Show details,,Részletek megjelenítése,Afficher les détails,*,*,Show details,{locale}.json
*::*.Show item details,Show item details,,Elem részleteinek megjelenítése,Afficher les détails de l'article,*,*,Show item details,{locale}.json
*::*.Show on same axis,Show on same axis,,Mutasd ugyanazon a tengelyen,Afficher sur le même axe,*,*,Show on same axis,{locale}.json
*::*.Show reconciled only,Show reconciled only,,Csak egyeztetett elemek megjelenítése,Afficher uniquement les éléments réconciliés,*,*,Show reconciled only,{locale}.json
*::*.Show transactions,Show transactions,,Tranzakciók megjelenítése,Afficher les transactions,*,*,Show transactions,{locale}.json
*::*.Show uncleared only,Show uncleared only,,Csak a nem törölteket mutassa,Afficher uniquement les éléments non effacés,*,*,Show uncleared only,{locale}.json
*::*.Sign In,Sign In,,Belépés,Se connecter,*,*,Sign In,{locale}.json
*::*.Sign in to start your session,Sign in to start your session,,Lépj be a kezdéshez,Connectez-vous pour démarrer votre session,*,*,Sign in to start your session,{locale}.json
*::*.Skip current schedule,Skip current schedule,,Aktuális ütemterv kihagyása,Passer au programme actuel,*,*,Skip current schedule,{locale}.json
*::*.Skip instance,Skip instance,,Példány kihagyása,Ignorer l'instance,*,*,Skip instance,{locale}.json
*::*.Skip schedule instance,Skip schedule instance,,Ütemezési példány kihagyása,Ignorer l'instance de planification,*,*,Skip schedule instance,{locale}.json
*::*.Skipping schedule instance for transaction #:transactionId,Skipping schedule instance for transaction #:transactionId,,Ütemezési példány kihagyása a következő tranzakcióhoz: #:transactionId,Ignorer l'instance planifiée pour la transaction #:transactionId,*,*,Skipping schedule instance for transaction #:transactionId,{locale}.json
*::*.Something failed,Something failed,,Valami nem sikerült,Quelque chose a échoué,*,*,Something failed,{locale}.json
*::*.Split transaction,Split transaction,,Felosztott tranzakció,Transaction fractionnée,*,*,Split transaction,{locale}.json
*::*.Standard,Standard,,Általános,Standard,*,*,Standard,{locale}.json
*::*.Start date,Start date,,Kezdő dátum,Date de début,*,*,Start date,{locale}.json
*::*.Start date for YAFFA,Start date for YAFFA,,YAFFA kezdő dátum,Date de début pour YAFFA,*,*,Start date for YAFFA,{locale}.json
*::*.Starting assets,Starting assets,,Kezdő eszközök,Actifs de départ,*,*,Starting assets,{locale}.json
*::*.Subject,Subject,,Téma,Sujet,*,*,Subject,{locale}.json
*::*.Success,Success,,Siker,Succès,*,*,Success,{locale}.json
*::*.Switch to monthly view,Switch to monthly view,,Váltás havi nézetre,Passer à l'affichage mensuel,*,*,Switch to monthly view,{locale}.json
*::*.Switch to yearly view,Switch to yearly view,,Váltás éves nézetre,Passer à l'affichage annuel,*,*,Switch to yearly view,{locale}.json
*::*.Symbol,Symbol,,Szimbólum,Symbole,*,*,Symbol,{locale}.json
*::*.TBD,TBD,,TBD,À déterminer,*,*,TBD,{locale}.json
*::*.Tag,Tag,,Címke,Étiqueter,*,*,Tag,{locale}.json
*::*.Tag added,Tag added,,Címke létrehozva,Étiquette ajoutée,*,*,Tag added,{locale}.json
*::*.Tag deleted,Tag deleted,,Címke törölve,Étiquette supprimée,*,*,Tag deleted,{locale}.json
*::*.Tag updated,Tag updated,,Címke frissítve,Étiquette mise à jour,*,*,Tag updated,{locale}.json
*::*.Tags,Tags,,Címkék,Étiquettes,*,*,Tags,{locale}.json
*::*.Target account,Target account,,Célfiók,Compte cible,*,*,Target account,{locale}.json
*::*.Tax,Tax,,Adó,Impôt,*,*,Tax,{locale}.json
*::*.Taxes,Taxes,,Adók,Impôts,*,*,Taxes,{locale}.json
*::*.Temporarily hide this widget,Temporarily hide this widget,,Ablak átmeneti bezárása,Masquer temporairement ce widget,*,*,Temporarily hide this widget,{locale}.json
*::*.Terms of service,Terms of service,,Szolgáltatási feltételek,Conditions d'utilisation,*,*,Terms of service,{locale}.json
*::*.Text,Text view,,Szöveges nézet,Affichage du texte,*,*,Text,{locale}.json
*::*.The :attribute must be unchecked.,The :attribute must be unchecked.,,A(z) :attribute-nak nem szabad bejelölnie.,L'attribut :attribute doit être décoché.,*,*,The :attribute must be unchecked.,{locale}.json
"*::*.The currency that is generally used in reports, charts and summaries. You can add several other currencies to fit your needs, and change this setting later.","The currency that is generally used in reports, charts and summaries. You can add several other currencies to fit your needs, and change this setting later.","A jelentésekben, diagramokban és összefoglalókban általában használt pénznem. Számos más pénznemet is hozzáadhatsz, és később módosíthatod ezt a beállítást.","La devise généralement utilisée dans les rapports, graphiques et synthèses. Vous pouvez ajouter d'autres devises selon vos besoins et modifier ce paramètre ultérieurement.",*,*,"The currency that is generally used in reports, charts and summaries. You can add several other currencies to fit your needs, and change this setting later.",{locale}.json
"*::*.The earliest date YAFFA uses to retrieve currency exchange rates and investment prices. You can record transactions to earlier dates, if needed.","The earliest date YAFFA uses to retrieve currency exchange rates and investment prices. You can record transactions to earlier dates, if needed.","A legkorábbi dátum amikortól a YAFFA lekérdezi a valutaárfolyamokat és a befektetés árakat. Szükség esetén felvehetsz ennél korábbi dátummal is tranzakciókat.","Il s'agit de la date la plus ancienne utilisée par YAFFA pour récupérer les taux de change et les prix des investissements. Vous pouvez enregistrer des transactions antérieures, si nécessaire.",*,*,"The earliest date YAFFA uses to retrieve currency exchange rates and investment prices. You can record transactions to earlier dates, if needed.",{locale}.json
*::*.The language has been updated. Please refresh the page to see the changes.,The language has been updated. Please refresh the page to see the changes.,,A nyelv frissült. Kérjük, frissítse az oldalt a változások megtekintéséhez.,La langue a été mise à jour. Veuillez actualiser la page pour voir les modifications.,*,*,The language has been updated. Please refresh the page to see the changes.,{locale}.json
*::*.The monthly summary for this account entity is being updated.,The monthly summary for this account is being updated.,,A számla havi összesítője frissül.,Le récapitulatif mensuel de ce compte est en cours de mise à jour.,*,*,The monthly summary for this account entity is being updated.,{locale}.json
*::*.The transaction is automatically entered on the next date.,The transaction is automatically entered on the next date.,,A tranzakció automatikusan rögzítésre kerül a következő napon.,La transaction sera automatiquement enregistrée à la date suivante.,*,*,The transaction is automatically entered on the next date.,{locale}.json
*::*.There is no data to show on this chart.,There is no data to show on this chart.,,Nincsenek megjeleníthető adatok ezen a diagramon.,Aucune donnée n'est disponible pour ce graphique.,*,*,There is no data to show on this chart.,{locale}.json
*::*.There was an error while getting account data: ,There was an error while getting account data: ,,Hiba történt a számla adatok lekérésekor:,Une erreur s'est produite lors de la récupération des données du compte:,*,*,There was an error while getting account data: ,{locale}.json
*::*.There were some problems with your input.,There were some problems with your input.,,Voltak problémák a beviteleddel.,Votre saisie a rencontré quelques problèmes.,*,*,There were some problems with your input.,{locale}.json
*::*.These settings cannot be changed after saving the transaction.,These settings cannot be changed after saving the transaction.,,A tranzakció mentése után ezek a beállítások nem módosíthatók.,Ces paramètres ne peuvent plus être modifiés après l'enregistrement de la transaction.,*,*,These settings cannot be changed after saving the transaction.,{locale}.json
*::*.This account cannot be deleted.,This account cannot be deleted.,,Ezt a számlát nem lehet törölni,Ce compte ne peut pas être supprimé.,*,*,This account cannot be deleted.,{locale}.json
*::*.This account entity is not an account.,This account entity is not an account.,,Ez a számlanititás nem számla.,Cette entité de compte n'est pas un compte.,*,*,This account entity is not an account.,{locale}.json
*::*.This account group cannot be deleted because it is still in use.,This account group cannot be deleted because it is still in use.,,"Ez a számla csoport nem törölhető, mert még használatban van.",Ce groupe de comptes ne peut pas être supprimé car il est toujours utilisé.,*,*,This account group cannot be deleted because it is still in use.,{locale}.json
*::*.This account group cannot be deleted.,This account group cannot be deleted.,,Ezt a számla csoportot nem lehet törölni.,Ce groupe de comptes ne peut pas être supprimé.,*,*,This account group cannot be deleted.,{locale}.json
*::*.This action cannot be undone. Proceed with caution.,This action cannot be undone. Proceed with caution.,,Ezt a műveletet nem lehet visszavonni. Légy körültekintő!,Cette action est irréversible. Procédez avec prudence.,*,*,This action cannot be undone. Proceed with caution.,{locale}.json
*::*.This category cannot be deleted.,This category cannot be deleted.,,Ez a kategória nem törölhető.,Cette catégorie ne peut pas être supprimée.,*,*,This category cannot be deleted.,{locale}.json
*::*.This investment cannot be deleted.,This investment cannot be deleted.,,Ez a befektetés nem törölhető.,Cet investissement ne peut être supprimé.,*,*,This investment cannot be deleted.,{locale}.json
*::*.This investment group cannot be deleted because it is still in use.,This investment group cannot be deleted because it is still in use.,,"Ez a befektetési csoport nem törölhető, mert még használatban van.",Ce groupe d'investissement ne peut pas être supprimé car il est toujours en activité.,*,*,This investment group cannot be deleted because it is still in use.,{locale}.json
*::*.This investment group cannot be deleted.,This investment group cannot be deleted.,,Ez a befektetés csoport nem törölhető.,Ce groupe d'investissement ne peut pas être supprimé.,*,*,This investment group cannot be deleted.,{locale}.json
*::*.This month,This month,,Ez a hónap,Ce mois-ci,*,*,This month,{locale}.json
*::*.This month to date,This month to date,,Ez a hónap a mai napig,Ce mois-ci à ce jour,*,*,This month to date,{locale}.json
*::*.This page can load slowly based on the number of transactions.,This page can load slowly based on the number of transactions.,,Ez az oldal a tranzakciók számától függően lassan töltődhet be.,Le chargement de cette page peut être lent en fonction du nombre de transactions.,*,*,This page can load slowly based on the number of transactions.,{locale}.json
*::*.This payee cannot be deleted.,This payee cannot be deleted.,,Ez a kedvezményezett nem törölhető.,Ce bénéficiaire ne peut pas être supprimé.,*,*,This payee cannot be deleted.,{locale}.json
*::*.This quarter,This quarter,,Ez a negyedév,Ce trimestre,*,*,This quarter,{locale}.json
*::*.This quarter to date,This quarter to date,,Ez a negyedév a mai napig,Ce trimestre à ce jour,*,*,This quarter to date,{locale}.json
*::*.This year,This year,,Ez az év,Cette année,*,*,This year,{locale}.json
*::*.This year to date,This year to date,,Ez az év mostanáig,Cette année à ce jour,*,*,This year to date,{locale}.json
*::*.Tip on your payee!,Tip on your payee!,,Javaslat az üzlethez!,Donnez un pourboire à votre bénéficiaire !,*,*,Tip on your payee!,{locale}.json
*::*.To,To,,Címzett,À,*,*,To,{locale}.json
*::*.Total allocated,Total allocated,,Felosztott összeg,Total alloué,*,*,Total allocated,{locale}.json
*::*.Total amount,Total amount,,Teljes összeg,Montant total,*,*,Total amount,{locale}.json
*::*.Total cashflow value,Total cashflow value,,Teljes pénzáram értéke,Valeur totale des flux de trésorerie,*,*,Total cashflow value,{locale}.json
*::*.Total value,Total value,,Teljes érték,Valeur totale,*,*,Total value,{locale}.json
*::*.Transaction,Transaction,,Tranzakció,Transaction,*,*,Transaction,{locale}.json
*::*.Transaction added.,Transaction added.,,Tranzakció hozzáadva.,Transaction ajoutée.,*,*,Transaction added.,{locale}.json
*::*.Transaction deleted (#:transactionId),Transaction deleted (#:transactionId),,Tranzakció törölve (#:transactionId),Transaction supprimée (#:transactionId),*,*,Transaction deleted (#:transactionId),{locale}.json
*::*.Transaction details,Transaction details,,Tranzakció részletei,Détails de la transaction,*,*,Transaction details,{locale}.json
*::*.Transaction filters,Transaction filters,,Tranzakciószűrők,Filtres de transaction,*,*,Transaction filters,{locale}.json
*::*.Transaction history,Transaction history,,Tranzakcióelőzmények,Historique des transactions,*,*,Transaction history,{locale}.json
*::*.Transaction instance skipped (#:transactionId),Transaction instance skipped (#:transactionId),,Tranzakciópéldány kihagyva (#:transactionId),Instance de transaction ignorée (#:transactionId),*,*,Transaction instance skipped (#:transactionId),{locale}.json
*::*.Transaction items,Transaction items,,Tranzakció tételek,Articles de transaction,*,*,Transaction items,{locale}.json
*::*.Transaction items are disabled for this transaction type,Transaction items are disabled for this transaction type,,A tranzakciós tételek le vannak tiltva ennél a tranzakciótípusnál,Les éléments de transaction sont désactivés pour ce type de transaction.,*,*,Transaction items are disabled for this transaction type,{locale}.json
*::*.Transaction schedule instance skipped,Transaction schedule instance skipped,,Tranzakcióütemezési példány kihagyva,Instance de planification des transactions ignorée,*,*,Transaction schedule instance skipped,{locale}.json
*::*.Transaction type,Transaction type,,Tranzakció típusa,Type de transaction,*,*,Transaction type,{locale}.json
*::*.Transactions,Transactions,,Tranzakciók,Transactions,*,*,Transactions,{locale}.json
*::*.Transactions by criteria,Transactions by criteria,,Tranzakciók kritériumok szerint,Transactions par critères,*,*,Transactions by criteria,{locale}.json
*::*.Transfer,Transfer,,Átvezetés,Transfert,*,*,Transfer,{locale}.json
*::*.Transfer from :account,Transfer from :account,,Utalás innen: :account,Transfert depuis :account,*,*,Transfer from :account,{locale}.json
*::*.Transfer from :account_from to :account_to,Transfer from :account_from to :account_to,,Átutalás :account_from számláról :account_to számlára,Transfert de :account_from vers :account_to,*,*,Transfer from :account_from to :account_to,{locale}.json
*::*.Transfer to :account,Transfer to :account,,Utalás ide: :account,Virement vers :account,*,*,Transfer to :account,{locale}.json
*::*.Type,Type,,Típus,Taper,*,*,Type,{locale}.json
*::*.Unavailable,Unavailable,,Nem elérhető,Indisponible,*,*,Unavailable,{locale}.json
*::*.Uncleared,Uncleared,,Tisztázatlan,Non débloqué,*,*,Uncleared,{locale}.json
*::*.Unmatched rows,Unmatched rows,,Nem egyező sorok,Lignes non appariées,*,*,Unmatched rows,{locale}.json
*::*.Update,Update,,Frissítés,Mise à jour,*,*,Update,{locale}.json
*::*.Update base schedule,Update base schedule,,Alapütemterv frissítése,Mise à jour du calendrier de base,*,*,Update base schedule,{locale}.json
*::*.Update user settings,Update user settings,,Felhasználói beállítások módosítása,Mettre à jour les paramètres utilisateur,*,*,Update user settings,{locale}.json
*::*.Use these controls to narrow down the list of transactions.,Use these controls to narrow down the list of transactions.,,Ezekkel a vezérlőkkel szűkítheti a tranzakciók listáját.,Utilisez ces commandes pour affiner la liste des transactions.,*,*,Use these controls to narrow down the list of transactions.,{locale}.json
*::*.User limit reached,User limit reached,,Elérte a felhasználói korlátot,Limite d'utilisateurs atteinte,*,*,User limit reached,{locale}.json
*::*.User settings updated,User settings updated,,Felhasználói beállítások frissítve,Paramètres utilisateur mis à jour,*,*,User settings updated,{locale}.json
*::*.Validation failed. Please check the form for errors.,Validation failed. Please check the form for errors.,,"Az ellenőrzés sikertelen. Kérjük, ellenőrizze az űrlapot hibák szempontjából.",La validation a échoué. Veuillez vérifier le formulaire pour détecter d'éventuelles erreurs.,*,*,Validation failed. Please check the form for errors.,{locale}.json
*::*.Value,Value,,Érték,Valeur,*,*,Value,{locale}.json
*::*.Verification link sent!,Verification link sent!,,Ellenőrző link elküldve!,Lien de vérification envoyé!,*,*,Verification link sent!,{locale}.json
*::*.Verify Your Email Address,Verify Your Email Address,,E-mail címének ellenőrzése,Vérifiez votre adresse e-mail,*,*,Verify Your Email Address,{locale}.json
*::*.View details,View details,,Részletek megtekintése,Voir les détails,*,*,View details,{locale}.json
*::*.View investment details,View investment details,,Befektetési részletek megtekintése,Consultez les détails de l'investissement,*,*,View investment details,{locale}.json
*::*.View investment price list,View investment price list,,Befektetési árlista megtekintése,Consultez la liste des prix d'investissement,*,*,View investment price list,{locale}.json
*::*.View the guided tour for this page,View the guided tour for this page,,Az oldalhoz tartozó útmutató megtekintése,Consultez la visite guidée de cette page.,*,*,View the guided tour for this page,{locale}.json
*::*.View transaction,View transaction,,Tranzakció megtekintése,Voir la transaction,*,*,View transaction,{locale}.json
*::*.View transactions,View transactions,,Tranzakciók megtekintése,Consulter les transactions,*,*,View transactions,{locale}.json
*::*.Warning,Warning,,Figyelmeztetés,Avertissement,*,*,Warning,{locale}.json
*::*.We recommend completing the following steps to have a great experience with YAFFA.,We recommend completing the following steps to have a great experience with YAFFA.,,A YAFFA-val való nagyszerű élmény érdekében javasoljuk a következő lépések végrehajtását.,Nous vous recommandons de suivre les étapes suivantes pour profiter pleinement de votre expérience avec YAFFA.,*,*,We recommend completing the following steps to have a great experience with YAFFA.,{locale}.json
*::*.Weekly,Weekly,,Hetente,Hebdomadaire,*,*,Weekly,{locale}.json
*::*.Welcome to YAFFA!,Welcome to YAFFA!,,Üdvözlünk a YAFFA-ban!,Bienvenue à YAFFA!,*,*,Welcome to YAFFA!,{locale}.json
*::*.Welcome to your YAFFA dashboard!,Welcome to your YAFFA dashboard!,,Üdvözlünk a YAFFA irányítópulton!,Bienvenue sur votre tableau de bord YAFFA!,*,*,Welcome to your YAFFA dashboard!,{locale}.json
*::*.Where to merge category,Where to merge category,,Hol lehet egyesíteni a kategóriát,Où fusionner les catégories,*,*,Where to merge category,{locale}.json
*::*.Where to merge payee,Where to merge payee,,Hol lehet egyesíteni a kedvezményezettet?,Où fusionner les bénéficiaires,*,*,Where to merge payee,{locale}.json
*::*.With forecast,With forecast,,Előrejelzéssel,Avec des prévisions,*,*,With forecast,{locale}.json
*::*.Withdraw,Withdraw,,Kiadás,Retirer,*,*,Withdraw,{locale}.json
*::*.Withdrawal,Withdrawal,,Kiadás,Retrait,*,*,Withdrawal,{locale}.json
*::*.Without forecast,Without forecast,,Előrejelzés nélkül,Sans prévision,*,*,Without forecast,{locale}.json
"*::*.YAFFA can create some accounts, currencies and categories for a convenient start. You can customize these anytime.","YAFFA can create some accounts, currencies and categories for a convenient start. You can customize these anytime.","A YAFFA létre tud hozni néhány számlát, pénznemet, kategóriát a kényelmes kezdéshez. Bármikor testre szabhatod.","YAFFA vous permet de créer des comptes, des devises et des catégories pour une prise en main facile. Vous pouvez les personnaliser à tout moment.",*,*,"YAFFA can create some accounts, currencies and categories for a convenient start. You can customize these anytime.",{locale}.json
*::*.YAFFA is an easy to use personal finance tracker.,YAFFA is an easy to use personal finance tracker.,,Egy könnyen használható személyes pénzügyi alkalmazás,YAFFA est un outil de suivi des finances personnelles facile à utiliser.,*,*,YAFFA is an easy to use personal finance tracker.,{locale}.json
*::*.Yearly,Yearly,,Évente,Annuel,*,*,Yearly,{locale}.json
*::*.Yes,Yes,,Igen,Oui,*,*,Yes,{locale}.json
*::*.You can create new account groups to organize your accounts.,You can create new account groups to organize your accounts.,,Új számla csoportokat hozhatsz létre a számláid rendszerezéséhez.,Vous pouvez créer de nouveaux groupes de comptes pour organiser vos comptes.,*,*,You can create new account groups to organize your accounts.,{locale}.json
*::*.You can create new investment groups to organize your investments.,You can create new investment groups to organize your investments.,,Új befektetési csoportokat hozhat létre befektetései rendszerezéséhez.,Vous pouvez créer de nouveaux groupes d'investissement pour organiser vos placements.,*,*,You can create new investment groups to organize your investments.,{locale}.json
*::*.You can dismiss this widget to hide it forever.,You can dismiss this widget to hide it forever.,,Örökre eltűntetheted ezt az ablakot.,Vous pouvez fermer ce widget pour le masquer définitivement.,*,*,You can dismiss this widget to hide it forever.,{locale}.json
*::*.You cannot change schedule settings for this type of action,You cannot change schedule settings for this type of action,,Az ilyen típusú művelet ütemezési beállításait nem módosíthatja.,Vous ne pouvez pas modifier les paramètres de planification pour ce type d'action.,*,*,You cannot change schedule settings for this type of action,{locale}.json
*::*.You cannot merge a parent category into a child category.,You cannot merge a parent category into a child category.,,Nem lehet szülőkategóriát gyermekkategóriával egyesíteni.,Vous ne pouvez pas fusionner une catégorie parente dans une catégorie enfant.,*,*,You cannot merge a parent category into a child category.,{locale}.json
*::*.You cannot register new users.,You cannot register new users.,,Új felhasználókat nem lehet regisztrálni.,Vous ne pouvez pas enregistrer de nouveaux utilisateurs.,*,*,You cannot register new users.,{locale}.json
*::*.Your changes have been saved!,Your changes have been saved!,,A módosításokat mentettük!,Vos modifications ont été enregistrées !,*,*,Your changes have been saved!,{locale}.json
*::*.Zoom in,Zoom in,,Nagyítás,Zoomer,*,*,Zoom in,{locale}.json
*::*.account,account,,számla,compte,*,*,account,{locale}.json
*::*.account.requirement.accountGroup,"Before creating an account, please add at least one account group. E.g. cash, bank accounts, savings, etc. Account groups help to organize your accounts.","Számla létrehozása előtt adj hozzá legalább egy számlacsoportot. Pl. készpénz, bankszámlák, megtakarítások stb. A számlacsoportok segítenek a számlák rendszerezésében.","Avant de créer un compte, veuillez ajouter au moins un groupe de comptes. Par exemple: espèces, comptes bancaires, épargne, etc. Les groupes de comptes permettent de mieux organiser vos comptes.",*,*,account.requirement.accountGroup,{locale}.json
*::*.account.requirement.currency,"Before creating an account, please add at least one currency. Accounts must have a currency assigned.","Számla létrehozása előtt adj hozzá legalább egy pénznemet. A számlákhoz hozzá kell rendelni egy pénznemet.","Avant de créer un compte, veuillez ajouter au moins une devise. Un compte doit obligatoirement être associé à une devise.",*,*,account.requirement.currency,{locale}.json
*::*.amount to,amount to,,összeg,montant à,*,*,amount to,{locale}.json
*::*.callback.cloneTransaction,Clone this transaction,,Másold ezt a tranzakciót,Cloner cette transaction,*,*,callback.cloneTransaction,{locale}.json
*::*.callback.newTransaction,New transaction,,Új tranzakció,Nouvelle transaction,*,*,callback.newTransaction,{locale}.json
*::*.callback.returnToDashboard,Return to dashboard,,Kezdőoldalra,Retour au tableau de bord,*,*,callback.returnToDashboard,{locale}.json
*::*.callback.returnToPreviousPage,Back to previous page,,Előző oldalra,Retour à la page précédente,*,*,callback.returnToPreviousPage,{locale}.json
